Bx By Bz 
7.8780000000e-02 0.0000000000e+00 0.0000000000e+00 5.1207207451e-04 
7.9560000000e-02 0.0000000000e+00 0.0000000000e+00 5.3444059643e-04 
8.0340000000e-02 0.0000000000e+00 0.0000000000e+00 5.5847814914e-04 
8.1120000000e-02 0.0000000000e+00 0.0000000000e+00 5.8445730961e-04 
8.1900000000e-02 0.0000000000e+00 0.0000000000e+00 6.1144545283e-04 
8.2680000000e-02 0.0000000000e+00 0.0000000000e+00 6.4051714036e-04 
8.3460000000e-02 0.0000000000e+00 0.0000000000e+00 6.7187492968e-04 
8.4240000000e-02 0.0000000000e+00 0.0000000000e+00 7.0508125772e-04 
8.5020000000e-02 0.0000000000e+00 0.0000000000e+00 7.3947133820e-04 
8.5800000000e-02 0.0000000000e+00 0.0000000000e+00 7.7854295766e-04 
8.6580000000e-02 0.0000000000e+00 0.0000000000e+00 8.1947790197e-04 
8.7360000000e-02 0.0000000000e+00 0.0000000000e+00 8.6294956878e-04 
8.8140000000e-02 0.0000000000e+00 0.0000000000e+00 9.0962384910e-04 
8.8920000000e-02 0.0000000000e+00 0.0000000000e+00 9.6083626587e-04 
8.9700000000e-02 0.0000000000e+00 0.0000000000e+00 1.0133109081e-03 
9.0480000000e-02 0.0000000000e+00 0.0000000000e+00 1.0726864478e-03 
9.1260000000e-02 0.0000000000e+00 0.0000000000e+00 1.1372711628e-03 
9.2040000000e-02 0.0000000000e+00 0.0000000000e+00 1.2041279351e-03 
9.2820000000e-02 0.0000000000e+00 0.0000000000e+00 1.2765256443e-03 
9.3600000000e-02 0.0000000000e+00 0.0000000000e+00 1.3574147334e-03 
9.4380000000e-02 0.0000000000e+00 0.0000000000e+00 1.4454238546e-03 
9.5160000000e-02 0.0000000000e+00 0.0000000000e+00 1.5402712644e-03 
9.5940000000e-02 0.0000000000e+00 0.0000000000e+00 1.6429655738e-03 
9.6720000000e-02 0.0000000000e+00 0.0000000000e+00 1.7560489337e-03 
9.7500000000e-02 0.0000000000e+00 0.0000000000e+00 1.8781178209e-03 
9.8280000000e-02 0.0000000000e+00 0.0000000000e+00 2.0105463405e-03 
9.9060000000e-02 0.0000000000e+00 0.0000000000e+00 2.1548693062e-03 
9.9840000000e-02 0.0000000000e+00 0.0000000000e+00 2.3173707831e-03 
1.0062000000e-01 0.0000000000e+00 0.0000000000e+00 2.4955107707e-03 
1.0140000000e-01 0.0000000000e+00 0.0000000000e+00 2.6891626594e-03 
1.0218000000e-01 0.0000000000e+00 0.0000000000e+00 2.9002232984e-03 
1.0296000000e-01 0.0000000000e+00 0.0000000000e+00 3.1329719428e-03 
1.0374000000e-01 0.0000000000e+00 0.0000000000e+00 3.3955392571e-03 
1.0452000000e-01 0.0000000000e+00 0.0000000000e+00 3.6722800870e-03 
1.0530000000e-01 0.0000000000e+00 0.0000000000e+00 3.9819337918e-03 
1.0608000000e-01 0.0000000000e+00 0.0000000000e+00 4.3396576336e-03 
1.0686000000e-01 0.0000000000e+00 0.0000000000e+00 4.7451467976e-03 
1.0764000000e-01 0.0000000000e+00 0.0000000000e+00 5.1806755457e-03 
1.0842000000e-01 0.0000000000e+00 0.0000000000e+00 5.6694709413e-03 
1.0920000000e-01 0.0000000000e+00 0.0000000000e+00 6.2075165653e-03 
1.0998000000e-01 0.0000000000e+00 0.0000000000e+00 6.7723162091e-03 
1.1076000000e-01 0.0000000000e+00 0.0000000000e+00 7.4860855243e-03 
1.1154000000e-01 0.0000000000e+00 0.0000000000e+00 8.2525904070e-03 
1.1232000000e-01 0.0000000000e+00 0.0000000000e+00 9.0916454197e-03 
1.1310000000e-01 0.0000000000e+00 0.0000000000e+00 1.0027129352e-02 
1.1388000000e-01 0.0000000000e+00 0.0000000000e+00 1.1121227834e-02 
1.1466000000e-01 0.0000000000e+00 0.0000000000e+00 1.2285656252e-02 
1.1544000000e-01 0.0000000000e+00 0.0000000000e+00 1.3658831705e-02 
1.1622000000e-01 0.0000000000e+00 0.0000000000e+00 1.5225457881e-02 
1.1700000000e-01 0.0000000000e+00 0.0000000000e+00 1.6899062535e-02 
1.1778000000e-01 0.0000000000e+00 0.0000000000e+00 1.8869787627e-02 
1.1856000000e-01 0.0000000000e+00 0.0000000000e+00 2.1128866004e-02 
1.1934000000e-01 0.0000000000e+00 0.0000000000e+00 2.3595878203e-02 
1.2012000000e-01 0.0000000000e+00 0.0000000000e+00 2.6301067788e-02 
1.2090000000e-01 0.0000000000e+00 0.0000000000e+00 2.9642532233e-02 
1.2168000000e-01 0.0000000000e+00 0.0000000000e+00 3.3312770201e-02 
1.2246000000e-01 0.0000000000e+00 0.0000000000e+00 3.7396978077e-02 
1.2324000000e-01 0.0000000000e+00 0.0000000000e+00 4.1975373473e-02 
1.2402000000e-01 0.0000000000e+00 0.0000000000e+00 4.7119724122e-02 
1.2480000000e-01 0.0000000000e+00 0.0000000000e+00 5.3263834277e-02 
1.2558000000e-01 0.0000000000e+00 0.0000000000e+00 6.0156109458e-02 
1.2636000000e-01 0.0000000000e+00 0.0000000000e+00 6.7804689972e-02 
1.2714000000e-01 0.0000000000e+00 0.0000000000e+00 7.6303078489e-02 
1.2792000000e-01 0.0000000000e+00 0.0000000000e+00 8.6028610841e-02 
1.2870000000e-01 0.0000000000e+00 0.0000000000e+00 9.7123095973e-02 
1.2948000000e-01 0.0000000000e+00 0.0000000000e+00 1.0944095746e-01 
1.3026000000e-01 0.0000000000e+00 0.0000000000e+00 1.2304829087e-01 
1.3104000000e-01 0.0000000000e+00 0.0000000000e+00 1.3799940625e-01 
1.3182000000e-01 0.0000000000e+00 0.0000000000e+00 1.5477265794e-01 
1.3260000000e-01 0.0000000000e+00 0.0000000000e+00 1.7394224721e-01 
1.3338000000e-01 0.0000000000e+00 0.0000000000e+00 1.9497843833e-01 
1.3416000000e-01 0.0000000000e+00 0.0000000000e+00 2.1756097149e-01 
1.3494000000e-01 0.0000000000e+00 0.0000000000e+00 2.4145416976e-01 
1.3572000000e-01 0.0000000000e+00 0.0000000000e+00 2.6977598174e-01 
1.3650000000e-01 0.0000000000e+00 0.0000000000e+00 2.9941930227e-01 
1.3728000000e-01 0.0000000000e+00 0.0000000000e+00 3.3106301165e-01 
1.3806000000e-01 0.0000000000e+00 0.0000000000e+00 3.6550053183e-01 
1.3884000000e-01 0.0000000000e+00 0.0000000000e+00 4.0202779539e-01 
1.3962000000e-01 0.0000000000e+00 0.0000000000e+00 4.4086248444e-01 
1.4040000000e-01 0.0000000000e+00 0.0000000000e+00 4.8302385811e-01 
1.4118000000e-01 0.0000000000e+00 0.0000000000e+00 5.2816513769e-01 
1.4196000000e-01 0.0000000000e+00 0.0000000000e+00 5.7459057373e-01 
1.4274000000e-01 0.0000000000e+00 0.0000000000e+00 6.2367305026e-01 
1.4352000000e-01 0.0000000000e+00 0.0000000000e+00 6.7566604972e-01 
1.4430000000e-01 0.0000000000e+00 0.0000000000e+00 7.3006694717e-01 
1.4508000000e-01 0.0000000000e+00 0.0000000000e+00 7.8636461894e-01 
1.4586000000e-01 0.0000000000e+00 0.0000000000e+00 8.4491678793e-01 
1.4664000000e-01 0.0000000000e+00 0.0000000000e+00 9.0548809362e-01 
1.4742000000e-01 0.0000000000e+00 0.0000000000e+00 9.6778028868e-01 
1.4820000000e-01 0.0000000000e+00 0.0000000000e+00 1.0316440163e+00 
1.4898000000e-01 0.0000000000e+00 0.0000000000e+00 1.0968854547e+00 
1.4976000000e-01 0.0000000000e+00 0.0000000000e+00 1.1642862696e+00 
1.5054000000e-01 0.0000000000e+00 0.0000000000e+00 1.2327035142e+00 
1.5132000000e-01 0.0000000000e+00 0.0000000000e+00 1.3019724161e+00 
1.5210000000e-01 0.0000000000e+00 0.0000000000e+00 1.3719797425e+00 
1.5288000000e-01 0.0000000000e+00 0.0000000000e+00 1.4428523514e+00 
1.5366000000e-01 0.0000000000e+00 0.0000000000e+00 1.5142734765e+00 
1.5444000000e-01 0.0000000000e+00 0.0000000000e+00 1.5859871724e+00 
1.5522000000e-01 0.0000000000e+00 0.0000000000e+00 1.6578525157e+00 
1.5600000000e-01 0.0000000000e+00 0.0000000000e+00 1.7297245646e+00 
1.5678000000e-01 0.0000000000e+00 0.0000000000e+00 1.8013861252e+00 
1.5756000000e-01 0.0000000000e+00 0.0000000000e+00 1.8727751031e+00 
1.5834000000e-01 0.0000000000e+00 0.0000000000e+00 1.9437111069e+00 
1.5912000000e-01 0.0000000000e+00 0.0000000000e+00 2.0140434181e+00 
1.5990000000e-01 0.0000000000e+00 0.0000000000e+00 2.0835173275e+00 
1.6068000000e-01 0.0000000000e+00 0.0000000000e+00 2.1520024938e+00 
1.6146000000e-01 0.0000000000e+00 0.0000000000e+00 2.2196459949e+00 
1.6224000000e-01 0.0000000000e+00 0.0000000000e+00 2.2862469686e+00 
1.6302000000e-01 0.0000000000e+00 0.0000000000e+00 2.3515602422e+00 
1.6380000000e-01 0.0000000000e+00 0.0000000000e+00 2.4156645727e+00 
1.6458000000e-01 0.0000000000e+00 0.0000000000e+00 2.4785998818e+00 
1.6536000000e-01 0.0000000000e+00 0.0000000000e+00 2.5397652026e+00 
1.6614000000e-01 0.0000000000e+00 0.0000000000e+00 2.5991413452e+00 
1.6692000000e-01 0.0000000000e+00 0.0000000000e+00 2.6576284010e+00 
1.6770000000e-01 0.0000000000e+00 0.0000000000e+00 2.7142000184e+00 
1.6848000000e-01 0.0000000000e+00 0.0000000000e+00 2.7690990061e+00 
1.6926000000e-01 0.0000000000e+00 0.0000000000e+00 2.8226864624e+00 
1.7004000000e-01 0.0000000000e+00 0.0000000000e+00 2.8752882129e+00 
1.7082000000e-01 0.0000000000e+00 0.0000000000e+00 2.9245637461e+00 
1.7160000000e-01 0.0000000000e+00 0.0000000000e+00 2.9728524911e+00 
1.7238000000e-01 0.0000000000e+00 0.0000000000e+00 3.0197410218e+00 
1.7316000000e-01 0.0000000000e+00 0.0000000000e+00 3.0649443373e+00 
1.7394000000e-01 0.0000000000e+00 0.0000000000e+00 3.1081213277e+00 
1.7472000000e-01 0.0000000000e+00 0.0000000000e+00 3.1498427734e+00 
1.7550000000e-01 0.0000000000e+00 0.0000000000e+00 3.1896022118e+00 
1.7628000000e-01 0.0000000000e+00 0.0000000000e+00 3.2275748708e+00 
1.7706000000e-01 0.0000000000e+00 0.0000000000e+00 3.2640643997e+00 
1.7784000000e-01 0.0000000000e+00 0.0000000000e+00 3.2989559554e+00 
1.7862000000e-01 0.0000000000e+00 0.0000000000e+00 3.3317352369e+00 
1.7940000000e-01 0.0000000000e+00 0.0000000000e+00 3.3634187984e+00 
1.8018000000e-01 0.0000000000e+00 0.0000000000e+00 3.3937671798e+00 
1.8096000000e-01 0.0000000000e+00 0.0000000000e+00 3.4214085816e+00 
1.8174000000e-01 0.0000000000e+00 0.0000000000e+00 3.4478598875e+00 
1.8252000000e-01 0.0000000000e+00 0.0000000000e+00 3.4726830337e+00 
1.8330000000e-01 0.0000000000e+00 0.0000000000e+00 3.4960896923e+00 
1.8408000000e-01 0.0000000000e+00 0.0000000000e+00 3.5182863331e+00 
1.8486000000e-01 0.0000000000e+00 0.0000000000e+00 3.5387793322e+00 
1.8564000000e-01 0.0000000000e+00 0.0000000000e+00 3.5567774054e+00 
1.8642000000e-01 0.0000000000e+00 0.0000000000e+00 3.5736466593e+00 
1.8720000000e-01 0.0000000000e+00 0.0000000000e+00 3.5895009710e+00 
1.8798000000e-01 0.0000000000e+00 0.0000000000e+00 3.6038612571e+00 
1.8876000000e-01 0.0000000000e+00 0.0000000000e+00 3.6160282807e+00 
1.8954000000e-01 0.0000000000e+00 0.0000000000e+00 3.6272460079e+00 
1.9032000000e-01 0.0000000000e+00 0.0000000000e+00 3.6369066182e+00 
1.9110000000e-01 0.0000000000e+00 0.0000000000e+00 3.6447437050e+00 
1.9188000000e-01 0.0000000000e+00 0.0000000000e+00 3.6515282332e+00 
1.9266000000e-01 0.0000000000e+00 0.0000000000e+00 3.6565047206e+00 
1.9344000000e-01 0.0000000000e+00 0.0000000000e+00 3.6601537459e+00 
1.9422000000e-01 0.0000000000e+00 0.0000000000e+00 3.6624812048e+00 
1.9500000000e-01 0.0000000000e+00 0.0000000000e+00 3.6634091151e+00 
1.9578000000e-01 0.0000000000e+00 0.0000000000e+00 3.6624812048e+00 
1.9656000000e-01 0.0000000000e+00 0.0000000000e+00 3.6601537459e+00 
1.9734000000e-01 0.0000000000e+00 0.0000000000e+00 3.6565047206e+00 
1.9812000000e-01 0.0000000000e+00 0.0000000000e+00 3.6515282332e+00 
1.9890000000e-01 0.0000000000e+00 0.0000000000e+00 3.6447437050e+00 
1.9968000000e-01 0.0000000000e+00 0.0000000000e+00 3.6369066182e+00 
2.0046000000e-01 0.0000000000e+00 0.0000000000e+00 3.6272460079e+00 
2.0124000000e-01 0.0000000000e+00 0.0000000000e+00 3.6160282807e+00 
2.0202000000e-01 0.0000000000e+00 0.0000000000e+00 3.6038612571e+00 
2.0280000000e-01 0.0000000000e+00 0.0000000000e+00 3.5895009710e+00 
2.0358000000e-01 0.0000000000e+00 0.0000000000e+00 3.5736466593e+00 
2.0436000000e-01 0.0000000000e+00 0.0000000000e+00 3.5567774054e+00 
2.0514000000e-01 0.0000000000e+00 0.0000000000e+00 3.5387793322e+00 
2.0592000000e-01 0.0000000000e+00 0.0000000000e+00 3.5182863331e+00 
2.0670000000e-01 0.0000000000e+00 0.0000000000e+00 3.4960896923e+00 
2.0748000000e-01 0.0000000000e+00 0.0000000000e+00 3.4726830337e+00 
2.0826000000e-01 0.0000000000e+00 0.0000000000e+00 3.4478598875e+00 
2.0904000000e-01 0.0000000000e+00 0.0000000000e+00 3.4214085816e+00 
2.0982000000e-01 0.0000000000e+00 0.0000000000e+00 3.3937671798e+00 
2.1060000000e-01 0.0000000000e+00 0.0000000000e+00 3.3634187984e+00 
2.1138000000e-01 0.0000000000e+00 0.0000000000e+00 3.3317352369e+00 
2.1216000000e-01 0.0000000000e+00 0.0000000000e+00 3.2989559554e+00 
2.1294000000e-01 0.0000000000e+00 0.0000000000e+00 3.2640643997e+00 
2.1372000000e-01 0.0000000000e+00 0.0000000000e+00 3.2275748708e+00 
2.1450000000e-01 0.0000000000e+00 0.0000000000e+00 3.1896022118e+00 
2.1528000000e-01 0.0000000000e+00 0.0000000000e+00 3.1498427734e+00 
2.1606000000e-01 0.0000000000e+00 0.0000000000e+00 3.1081213277e+00 
2.1684000000e-01 0.0000000000e+00 0.0000000000e+00 3.0649443373e+00 
2.1762000000e-01 0.0000000000e+00 0.0000000000e+00 3.0197410218e+00 
2.1840000000e-01 0.0000000000e+00 0.0000000000e+00 2.9728524911e+00 
2.1918000000e-01 0.0000000000e+00 0.0000000000e+00 2.9245637461e+00 
2.1996000000e-01 0.0000000000e+00 0.0000000000e+00 2.8752882129e+00 
2.2074000000e-01 0.0000000000e+00 0.0000000000e+00 2.8226864624e+00 
2.2152000000e-01 0.0000000000e+00 0.0000000000e+00 2.7690990061e+00 
2.2230000000e-01 0.0000000000e+00 0.0000000000e+00 2.7142000184e+00 
2.2308000000e-01 0.0000000000e+00 0.0000000000e+00 2.6576284010e+00 
2.2386000000e-01 0.0000000000e+00 0.0000000000e+00 2.5991413452e+00 
2.2464000000e-01 0.0000000000e+00 0.0000000000e+00 2.5397652026e+00 
